指标,2022年,2021年,2019年,2018年,2017年,2016年,2015年,2014年
女性人口数(人口抽样调查)(人),706364,730212,534042,559349,559174,564932,10395195,548391
0-4岁女性人口数(人口抽样调查)(人),29658,34690,29361,31506,31845,31744,575117,29506
5-9岁女性人口数(人口抽样调查)(人),42783,45124,27992,29043,28969,29165,536190,28807
10-14岁女性人口数(人口抽样调查)(人),42781,42959,27314,28473,27798,27647,504836,26671
15-19岁女性人口数(人口抽样调查)(人),36873,36737,25560,26706,27217,28363,539299,30136
20-24岁女性人口数(人口抽样调查)(人),34483,36236,28665,31965,34689,37736,745694,43894
25-29岁女性人口数(人口抽样调查)(人),40234,43540,39555,45268,49251,52439,985108,49044
30-34岁女性人口数(人口抽样调查)(人),56267,61955,46686,46358,44249,43503,778959,40768
35-39岁女性人口数(人口抽样调查)(人),53435,53057,38447,40370,40609,39492,738538,40032
40-44岁女性人口数(人口抽样调查)(人),47957,47817,37810,41017,42983,46388,892759,49873
45-49岁女性人口数(人口抽样调查)(人),51025,56225,46969,50276,51815,51429,945069,48795
50-54岁女性人口数(人口抽样调查)(人),63217,64103,46079,47911,47778,48116,797433,38439
55-59岁女性人口数(人口抽样调查)(人),58602,60752,36886,34636,29579,29374,586543,32628
60-64岁女性人口数(人口抽样调查)(人),36151,35399,30244,33923,34017,33887,606510,30826
65-69岁女性人口数(人口抽样调查)(人),40621,41394,28119,27825,26271,24576,425407,21137
70-74岁女性人口数(人口抽样调查)(人),30427,28962,18374,17905,16799,16132,286765,14606
75-79岁女性人口数(人口抽样调查)(人),18973,18429,12042,12054,11779,11705,215643,11151
80-84岁女性人口数(人口抽样调查)(人),12297,12368,8081,8389,8048,7884,141534,7302
85-89岁女性人口数(人口抽样调查)(人),7319,7252,4130,4033,3849,3803,66910,3360
90-94岁女性人口数(人口抽样调查)(人),2644,2606,1395,1365,1304,1271,21935,1175
95岁以上女性人口数(人口抽样调查)(人),618,608,333,327,324,279,4947,241
